bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score,life_stage_fish_use_normalization_max,bsr_match_review_required,input_review_status,population_priority,limiting_factor,vulnerability_rank_min,vulnerability_rank_max,vulnerability_score_min,vulnerability_score_max,vulnerability_score,source_vulnerability_rows,source_life_stages,vulnerability_review_flag,uncertainty_notes,condition_score_raw_1_5,condition_score_source,condition_score,n,any_flag,risk_component
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Water Quality,7,7,0.5757142857142857,0.5757142857142857,0.5757142857142857,1,Winter Rearing,No,,5.0,1.0,1.0,3,False,0.05195861520095503
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Winter Water Temperature,2,2,0.9292857142857143,0.9292857142857143,0.9292857142857143,1,Winter Rearing,No,,3.91,0.75475,0.730225,3,False,0.061243008933545555
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Altered Flow Timing,6,6,0.6464285714285714,0.6464285714285714,0.6464285714285714,1,Summer Rearing,No,Uncertain impacts,4.31,0.84475,0.8292249999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Altered Primary Productivity,8,8,0.505,0.505,0.505,1,Summer Rearing,No,,4.31,0.84475,0.8292249999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Anthropogenic Barriers,7,7,0.5757142857142857,0.5757142857142857,0.5757142857142857,1,Summer Rearing,No,,3.68,0.703,0.6733,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Channel and Habitat Structure,3,3,0.8585714285714285,0.8585714285714285,0.8585714285714285,1,Summer Rearing,No,,4.57,0.90325,0.8935750000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Decreased Sediment Quantity,12,12,0.2221428571428571,0.2221428571428571,0.2221428571428571,1,Summer Rearing,No,,2.95,0.53875,0.49262500000000004,5,True,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Decreased Water Quantity,2,2,0.9292857142857143,0.9292857142857143,0.9292857142857143,1,Summer Rearing,No,,5.0,1.0,1.0,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Floodplain Condition,10,10,0.36357142857142855,0.36357142857142855,0.36357142857142855,1,Summer Rearing,No,,4.78,0.9505,0.9455500000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Increased Sediment Quantity,14,14,0.08071428571428574,0.08071428571428574,0.08071428571428574,1,Summer Rearing,No,,4.51,0.88975,0.878725,5,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Non-Native Species Interactions and Competition,11,11,0.2928571428571428,0.2928571428571428,0.2928571428571428,1,Summer Rearing,No,,4.64,0.919,0.9108999999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Predation,13,13,0.15142857142857147,0.15142857142857147,0.15142857142857147,1,Summer Rearing,No,,4.22,0.8245,0.80695,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Riparian Condition,5,5,0.7171428571428571,0.7171428571428571,0.7171428571428571,1,Summer Rearing,No,,4.57,0.90325,0.8935750000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Side Channel and Wetland Habitat,4,4,0.7878571428571428,0.7878571428571428,0.7878571428571428,1,Summer Rearing,No,,4.08,0.793,0.7723,5,True,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Summer Water Temperature,1,1,1.0,1.0,1.0,1,Summer Rearing,No,,4.64,0.919,0.9108999999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Water Quality,9,9,0.4342857142857143,0.4342857142857143,0.4342857142857143,1,Summer Rearing,No,,5.0,1.0,1.0,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.21,Winter Water Temperature,15,15,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,Summer Rearing,No,,3.91,0.75475,0.730225,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Altered Flow Timing,4,4,0.7878571428571428,0.7878571428571428,0.7878571428571428,2,Adult Migration & Holding | Juvenile Emigration,No,,4.31,0.84475,0.8292249999999999,3,False,0.1048209034619976
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Altered Primary Productivity,10,13,0.15142857142857147,0.36357142857142855,0.36357142857142855,2,Adult Migration & Holding | Juvenile Emigration,No,,4.31,0.84475,0.8292249999999999,3,False,0.04837156832471149
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Anthropogenic Barriers,2,13,0.15142857142857147,0.9292857142857143,0.9292857142857143,2,Adult Migration & Holding | Juvenile Emigration,No,,3.68,0.703,0.6733,3,False,0.10038894962196578
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Channel and Habitat Structure,3,5,0.7171428571428571,0.8585714285714285,0.8585714285714285,2,Adult Migration & Holding | Juvenile Emigration,No,,4.57,0.90325,0.8935750000000001,5,False,0.12309360095503384
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Decreased Sediment Quantity,11,12,0.2221428571428571,0.2928571428571428,0.2928571428571428,2,Adult Migration & Holding | Juvenile Emigration,No,,2.95,0.53875,0.49262500000000004,5,True,0.023147298050139275
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Decreased Water Quantity,2,3,0.8585714285714285,0.9292857142857143,0.9292857142857143,2,Adult Migration & Holding | Juvenile Emigration,No,,5.0,1.0,1.0,3,False,0.14909988062077198
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Floodplain Condition,6,8,0.505,0.6464285714285714,0.6464285714285714,2,Adult Migration & Holding | Juvenile Emigration,No,,4.78,0.9505,0.9455500000000001,5,False,0.09806930043772384
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Increased Sediment Quantity,10,11,0.2928571428571428,0.36357142857142855,0.36357142857142855,2,Adult Migration & Holding | Juvenile Emigration,No,,4.51,0.88975,0.878725,5,False,0.05125907489056904
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Non-Native Species Interactions and Competition,8,12,0.2221428571428571,0.505,0.505,2,Adult Migration & Holding | Juvenile Emigration,No,,4.64,0.919,0.9108999999999999,3,False,0.07380573593314763
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Predation,1,14,0.08071428571428574,1.0,1.0,2,Adult Migration & Holding | Juvenile Emigration,No,,4.22,0.8245,0.80695,3,False,0.129471643454039
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Riparian Condition,9,14,0.08071428571428574,0.4342857142857143,0.4342857142857143,2,Adult Migration & Holding | Juvenile Emigration,No,,4.57,0.90325,0.8935750000000001,5,False,0.06226365173099881
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Side Channel and Wetland Habitat,7,7,0.5757142857142857,0.5757142857142857,0.5757142857142857,2,Adult Migration & Holding | Juvenile Emigration,No,,4.08,0.793,0.7723,5,True,0.0713380240350179
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Summer Water Temperature,1,15,0.010000000000000009,1.0,1.0,2,Adult Migration & Holding | Juvenile Emigration,No,,4.64,0.919,0.9108999999999999,3,False,0.1461499721448468
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Water Quality,5,6,0.6464285714285714,0.7171428571428571,0.7171428571428571,2,Adult Migration & Holding | Juvenile Emigration,No,,5.0,1.0,1.0,3,False,0.11506247512932749
CC1,Catherine Creek,provisional_positional,Chinook,Migration,1.92,0.77,0.4162,0.5348189415041783,3.59,True,Provisional: BSR correspondence requires review,0.3,Winter Water Temperature,9,15,0.010000000000000009,0.4342857142857143,0.4342857142857143,2,Adult Migration & Holding | Juvenile Emigration,No,,3.91,0.75475,0.730225,3,False,0.05088154333465977
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Altered Flow Timing,6,6,0.6464285714285714,0.6464285714285714,0.6464285714285714,1,"Spawning, Incubation, Emergence",No,,4.31,0.84475,0.8292249999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Altered Primary Productivity,13,13,0.15142857142857147,0.15142857142857147,0.15142857142857147,1,"Spawning, Incubation, Emergence",No,,4.31,0.84475,0.8292249999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Anthropogenic Barriers,15,15,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,"Spawning, Incubation, Emergence",No,,3.68,0.703,0.6733,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Channel and Habitat Structure,1,1,1.0,1.0,1.0,1,"Spawning, Incubation, Emergence",No,,4.57,0.90325,0.8935750000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Decreased Sediment Quantity,4,4,0.7878571428571428,0.7878571428571428,0.7878571428571428,1,"Spawning, Incubation, Emergence",No,,2.95,0.53875,0.49262500000000004,5,True,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Decreased Water Quantity,9,9,0.4342857142857143,0.4342857142857143,0.4342857142857143,1,"Spawning, Incubation, Emergence",No,"Uncertainty, summer quantity",5.0,1.0,1.0,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Floodplain Condition,3,3,0.8585714285714285,0.8585714285714285,0.8585714285714285,1,"Spawning, Incubation, Emergence",No,,4.78,0.9505,0.9455500000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Increased Sediment Quantity,10,10,0.36357142857142855,0.36357142857142855,0.36357142857142855,1,"Spawning, Incubation, Emergence",No,,4.51,0.88975,0.878725,5,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Non-Native Species Interactions and Competition,14,14,0.08071428571428574,0.08071428571428574,0.08071428571428574,1,"Spawning, Incubation, Emergence",No,,4.64,0.919,0.9108999999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Predation,12,12,0.2221428571428571,0.2221428571428571,0.2221428571428571,1,"Spawning, Incubation, Emergence",No,"uncertainty, no data",4.22,0.8245,0.80695,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Riparian Condition,5,5,0.7171428571428571,0.7171428571428571,0.7171428571428571,1,"Spawning, Incubation, Emergence",No,,4.57,0.90325,0.8935750000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Side Channel and Wetland Habitat,2,2,0.9292857142857143,0.9292857142857143,0.9292857142857143,1,"Spawning, Incubation, Emergence",No,,4.08,0.793,0.7723,5,True,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Summer Water Temperature,11,11,0.2928571428571428,0.2928571428571428,0.2928571428571428,1,"Spawning, Incubation, Emergence",No,,4.64,0.919,0.9108999999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Water Quality,8,8,0.505,0.505,0.505,1,"Spawning, Incubation, Emergence",No,,5.0,1.0,1.0,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Spawning,0.0,0.58,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.25,Winter Water Temperature,7,7,0.5757142857142857,0.5757142857142857,0.5757142857142857,1,"Spawning, Incubation, Emergence",No,,3.91,0.75475,0.730225,3,False,0.0
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Altered Flow Timing,10,10,0.36357142857142855,0.36357142857142855,0.36357142857142855,1,Winter Rearing,No,,4.31,0.84475,0.8292249999999999,3,False,0.007768003593812175
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Altered Primary Productivity,8,8,0.505,0.505,0.505,1,Winter Rearing,No,,4.31,0.84475,0.8292249999999999,3,False,0.01078974173050139
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Anthropogenic Barriers,14,14,0.08071428571428574,0.08071428571428574,0.08071428571428574,1,Winter Rearing,No,,3.68,0.703,0.6733,3,False,0.0014002523378432157
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Channel and Habitat Structure,2,2,0.9292857142857143,0.9292857142857143,0.9292857142857143,1,Winter Rearing,No,,4.57,0.90325,0.8935750000000001,5,False,0.021395751977218467
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Decreased Sediment Quantity,12,12,0.2221428571428571,0.2221428571428571,0.2221428571428571,1,Winter Rearing,No,,2.95,0.53875,0.49262500000000004,5,True,0.0028196557277158766
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Decreased Water Quantity,7,7,0.5757142857142857,0.5757142857142857,0.5757142857142857,1,Winter Rearing,No,,5.0,1.0,1.0,3,False,0.014833863907680064
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Floodplain Condition,4,4,0.7878571428571428,0.7878571428571428,0.7878571428571428,1,Winter Rearing,No,,4.78,0.9505,0.9455500000000001,5,False,0.019194608560485476
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Increased Sediment Quantity,13,13,0.15142857142857147,0.15142857142857147,0.15142857142857147,1,Winter Rearing,No,,4.51,0.88975,0.878725,5,False,0.0034285310883406294
CC1,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.58,0.4162,0.10306406685236769,3.59,True,Provisional: BSR correspondence requires review,0.25,Non-Native Species Interactions and Competition,11,11,0.2928571428571428,0.2928571428571428,0.2928571428571428,1,Winter Rearing,No,,4.64,0.919,0.9108999999999999,3,False,0.00687343463987266
