bsr,basin,overall_impact_score,overall_risk_score,lf_sum_impact_score,lf_sum_risk_score,fish_use_score,fish_use_score_variants,highest_risk_species_life_stage,top_species_life_stage_risk_score,top_species_life_stage_risk_tie_count,highest_risk_limiting_factor,top_limiting_factor_risk_score,top_limiting_factor_risk_tie_count,impact_balance_difference,risk_balance_difference,highest_risk_aligned_action_type,highest_action_benefit_score,top_action_benefit_tie_count,overall_condition_improvement_score,overall_limiting_factor_amelioration_score,overall_benefit_score
UGR10,Upper Grande Ronde,6.362438939969245,2.5651818910047526,6.362438939969245,2.5651818910047526,0.2541,1,Steelhead | Spawning,0.6696554196149644,1,Side Channel and Wetland Habitat,0.3287879535226182,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,1.47953530757742,1,11.3441175,17.153637835675553,7.005182735053305
UGR11,Upper Grande Ronde,23.162033939842697,10.517274616637447,23.1620339398427,10.517274616637447,0.4504,1,Chinook | Migration,2.5315175270060633,1,Channel and Habitat Structure,1.1420939748838292,1,-3.552713678800501e-15,0.0,3 | Floodplain – Reconnect and Restore,5.19941216381139,1,22.7292975,60.203415872286236,27.07363826079294
UGR12,Upper Grande Ronde,8.23756307509253,3.3745895512308413,8.23756307509253,3.3745895512308413,0.2281,1,Steelhead | Spawning,0.9512647768133589,1,Channel and Habitat Structure,0.46081390296397984,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,1.8219777798093577,1,15.7565025,21.2199674277702,8.775328327357332
UGR13,Upper Grande Ronde,15.588658842672462,6.43646620061487,15.588658842672462,6.43646620061487,0.2831,1,Steelhead | Spawning,1.4487368437737544,1,Channel and Habitat Structure,0.9200286740083214,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,3.561019629429846,1,24.072885,41.05661399867886,17.109837089659756
UGR14,Upper Grande Ronde,24.325465341797596,9.612904638286954,24.325465341797596,9.612904638286954,0.7206,1,Bull Trout | Spawning & Resident,4.600616206788784,1,Channel and Habitat Structure,1.3897745709923903,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,4.8236000219793915,1,14.58216,61.80541381000957,24.194694258793618
UGR15,Upper Grande Ronde,24.96955193336516,9.807366009255048,24.96955193336516,9.807366009255048,0.6126,1,Bull Trout | FMO,2.239513800231768,1,Channel and Habitat Structure,1.087428175366983,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,5.163914064840203,1,17.787015,64.05880344999962,25.312549193817983
UGR16,Upper Grande Ronde,10.584989999637848,4.20411287077442,10.584989999637848,4.204112870774419,0.327,1,Chinook | Winter Rearing,0.9403502400715836,1,Channel and Habitat Structure,0.688334742761061,1,0.0,8.881784197001252e-16,3 | Floodplain – Reconnect and Restore,2.4858925556683875,1,15.0143625,28.965217106515183,11.61888569602291
UGR17,Upper Grande Ronde,29.89316970051788,11.663655317007258,29.89316970051788,11.663655317007258,0.6039,1,Bull Trout | FMO,2.727025800094572,1,Channel and Habitat Structure,2.00177812007054,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,6.321553326589271,1,22.358520000000002,80.121422506113,31.465017138208044
UGR18,Upper Grande Ronde,15.434697556736944,6.284524736034847,15.434697556736943,6.284524736034847,0.6511,1,Bull Trout | Spawning & Resident,3.246956935544313,1,Channel and Habitat Structure,0.9489503514880987,1,1.7763568394002505e-15,0.0,3 | Floodplain – Reconnect and Restore,3.4399373183582114,1,10.4369175,41.00376603155051,16.74044823693152
UGR19,Upper Grande Ronde,25.244562918428304,10.142126095670104,25.244562918428304,10.142126095670102,0.7778,1,Bull Trout | Spawning & Resident,4.278545742333097,1,Riparian Condition,1.184286961796151,1,0.0,1.7763568394002505e-15,3 | Floodplain – Reconnect and Restore,5.267113610526466,1,14.640435,65.82369637079525,26.64391444705931
UGR2,Upper Grande Ronde,6.534367289965452,2.7177675347619696,6.534367289965452,2.7177675347619696,0.1914,1,Steelhead | Spawning,0.8835068705778432,1,Channel and Habitat Structure,0.4199790481891203,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,1.3508300555656796,1,14.1337575,16.601359123917607,6.9818990145967
UGR20,Upper Grande Ronde,28.13912020420667,11.328199783472174,28.13912020420667,11.328199783472174,0.8697,1,Bull Trout | Spawning & Resident,4.739784043031397,1,Non-Native Species Interactions and Competition,1.8168886008192748,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,5.2600848798611555,1,13.85838,68.08595858102787,27.129056503030636
UGR3,Upper Grande Ronde,35.32302694321523,17.46633209824561,35.32302694321523,17.46633209824561,0.6514,1,Chinook | Migration,8.326393474404204,1,Predation,2.410932142968,1,0.0,0.0,6 | Instream Flow Restoration,6.687445563912532,1,22.23018,85.15764374418305,40.80073379111778
UGR4,Upper Grande Ronde,9.09022253827362,3.6901734641492197,9.09022253827362,3.6901734641492197,0.1873,1,Steelhead | Spawning,1.241693049082892,1,Channel and Habitat Structure,0.4867291562194788,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,1.9429789008890617,1,21.05955,23.828956856978827,9.826626940158851
UGR5,Upper Grande Ronde,38.90380722369322,19.786013355111333,38.903807223693214,19.78601335511133,0.5242,1,Chinook | Migration,9.781649750449471,1,Decreased Water Quantity,2.0226500001228,1,7.105427357601002e-15,3.552713678800501e-15,3 | Floodplain – Reconnect and Restore,8.622400553876362,1,31.306275,99.35075971254399,48.909259484387746
UGR6,Upper Grande Ronde,24.79360265704016,9.807777046595488,24.79360265704016,9.807777046595488,0.7643,1,Bull Trout | Spawning & Resident,4.320011378231055,1,Channel and Habitat Structure,1.6308103343409581,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,5.053787633825228,1,13.687582500000001,64.19503831984701,25.113043422665122
UGR7,Upper Grande Ronde,25.135867567228164,12.511468711188515,25.135867567228164,12.511468711188515,0.3375,1,Chinook | Migration,4.728782147110219,1,Channel and Habitat Structure,1.2760856277088377,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,5.761056283499564,1,31.8487725,65.01729560800199,31.549686100712478
UGR8,Upper Grande Ronde,0.25248538071363863,0.1333399371419559,0.25248538071363863,0.1333399371419559,0.0044,1,Chinook | Migration,0.1333399371419559,1,Channel and Habitat Structure,0.0150572399925948,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,0.05822538456099351,1,24.7350375,0.6533401276213843,0.33258917712327235
UGR9,Upper Grande Ronde,17.987572474072582,8.83216960595983,17.987572474072582,8.83216960595983,0.3184,1,Chinook | Migration,3.0547220463206575,1,Channel and Habitat Structure,1.1447080802415914,1,0.0,0.0,3 | Floodplain – Reconnect and Restore,4.149879257436736,1,24.08022,46.55350577825734,22.356590186875138
